|Star|SpT|configuration|Instrument|Date|Temperature|Velocity|vsini_sec|[Fe/H]|significance|Comments|Rank|Keck|VLT|Gemini|Imaging_Detecton|addmode|parsed_date|Tmeas|Tmeas_err|Corrected_Temperature|T_lowerr|T_uperr|Mass|M1
0|HIP 2548|B9.5V|"  (5.70(5.84B9.5V + 7.99; 25.55y  e=.80) + 9.61; 27.5"")"|HET|20130812|5600|6.985|30|-0.5|29.0558297554|Confirmed|1|n|Y|n||simple|2013-08-12|5600.04766806|215.998030575|5732.02019161|111.95625368|111.982126634|0.9998307111|2.5
1|HIP 2548|B9.5V|"  (5.70(5.84B9.5V + 7.99; 25.55y  e=.80) + 9.61; 27.5"")"|IGRINS|20150806|6000|2.853|30|0|8.796868428|Confirmed. Not detected with addmode=ml, and only marginally with simple|1|n|Y|n||simple|2015-08-06|6000.00818018|216.001275377|5732.02019161|111.95625368|111.982126634|0.9998307111|2.5
2|HIP 3478|B5V|  B5V|TS23|20140112|5800|-46.17|5|-0.5|31.0993615098|Very nice looking peak. Tens of sigma. This exists, damnit!|7|n|n|n||simple|2014-01-12|5799.80274502|215.990024802|5524.15286863|149.773112546|149.773877082|0.9574599194|4.6
3|HIP 5310|A3V|  (A3V + ?; ?)|IGRINS|20141014|3400|4.825|30|0|13.2448712865|Needs follow-up|3|Y|n|Y||simple|2014-10-14|3399.87177049|215.846391367|3342.73271774|154.357140593|154.313632252|0.3525388743|2
4|HR 545|B9.5IV|B9V|IGRINS|20141014|4500|-34.854|5|-0.5|36.9965334882|Confirmed|1|Y|n|n||simple|2014-10-14|4499.70631983|215.693513133|4312.19114549|87.255325178|87.2524111436|0.7284623178|2.5
5|HR 545|B9.5IV|B9V|TS23|20131021|4500|33.832|5|-0.5|30.4123361894|This is way too low T to be the G2|1|Y|n|n||simple|2013-10-21|4499.89669508|215.898235434|4312.19114549|87.255325178|87.2524111436|0.7284623178|2.5
6|HR 545|B9.5IV|B9V|TS23|20140111|4500|6.673|5|0|46.2865402376|RV change!|1|Y|n|n||simple|2014-01-11|4500.0086977|215.814406862|4312.19114549|87.255325178|87.2524111436|0.7284623178|2.5
7|HR 604|B8V+A0V|"(2.33K3IIb + 5.02(5.5(B7V + B9V; 2.67d) + 6.2A0V; 63.67y e=.93); 9.580"")"|TS23|20131020|5000|-4.805|5|0.5|15.0383602379|Probably light from the K3|1|n|n|n||simple|2013-10-20|5000.07068746|215.987688991|4735.5681218|149.777703904|149.773947908|0.7945408996|3.4
8|HIP 10732|A1Vn|  A1Vn|IGRINS|20141014|5500|-5.673|5|0|17.4437540101|Confirmed. Best [Fe/H] actually -0.5, but 0.0 is good too. Temperature changes!|1|Y|n|n||simple|2014-10-14|5499.89479771|215.973880085|5577.86181629|109.161922545|109.177970777|0.969563056|2.2
9|HIP 10732|A1Vn|  A1Vn|IGRINS|20150301|5700|-5.036|10|0|11.8514412144|Confirmed. Best [Fe/H] actually -0.5, but 0.0 is good too. Temperature changes!|1|Y|n|n||simple|2015-03-01|5699.94163572|215.986187975|5577.86181629|109.161922545|109.177970777|0.969563056|2.2
